id,nombre,sintomas,medicamento
145,Bronquitis 998,inflamacion,Prednisona 1g
146,Migrana 417,dolor muscular;dificultad para respirar;nauseas,Amoxicilina solucion oral
147,Hepatitis 803,inflamacion,Ibuprofeno 1g
148,Psoriasis 150,perdida de apetito;tos,Aciclovir 1g
149,Otitis 479,dolor de cabeza,Ibuprofeno solucion oral
150,Artritis 978,erupciones;diarrea,Losartan 500mg
151,Hepatitis 436,escalofrios;dificultad para respirar;tos,Prednisona comprimidos
152,Tuberculosis 318,tos;dolor abdominal;nauseas;dolor articular,Omeprazol solucion oral
153,Influenza 806,perdida de apetito;dolor abdominal,Prednisona 1g
154,Migrana 148,nauseas,Insulina comprimidos
155,Covid-19 48,dolor de cabeza;fatiga;nauseas;perdida de apetito,Salbutamol 500mg
156,Migrana 801,dolor de cabeza;escalofrios;tos,Paracetamol 1g
157,Gastritis 924,dolor abdominal;nauseas;dolor muscular;dolor de cabeza,Losartan 1g
158,Diabetes 283,dolor articular;mareo;escalofrios,Prednisona 1g
159,Bronquitis 200,erupciones,Losartan solucion oral
160,Gastritis 79,mareo;nauseas,Insulina solucion oral
161,Cistitis 786,mareo,Prednisona solucion oral
162,Cistitis 517,tos;fiebre;mareo;dolor muscular,Cetirizina 1g
163,Tuberculosis 448,fatiga;tos;erupciones,Salbutamol solucion oral
164,Psoriasis 386,mareo;dolor abdominal;escalofrios,Azitromicina 500mg
165,Covid-19 377,inflamacion;erupciones;nauseas;dolor articular,Paracetamol solucion oral
166,Covid-19 651,nauseas;dolor abdominal;erupciones;inflamacion,Salbutamol 500mg
167,Neumonia 311,escalofrios;erupciones,Prednisona comprimidos
168,Covid-19 826,escalofrios;erupciones;nauseas,Salbutamol solucion oral
169,Sinusitis 382,perdida de apetito;escalofrios;mareo,Prednisona 500mg
170,Otitis 919,dolor muscular;dolor articular;diarrea;nauseas,Salbutamol 1g
171,Gripe 131,mareo,Azitromicina comprimidos
172,Sinusitis 875,perdida de apetito;vomitos;tos;dolor articular,Insulina 500mg
173,Dermatitis 183,perdida de apetito;dolor articular;erupciones;diarrea,Paracetamol solucion oral
174,Meningitis 31,mareo;dolor abdominal,Aciclovir solucion oral
175,Cistitis 81,tos,Metformina comprimidos
176,Hepatitis 856,diarrea;inflamacion;escalofrios;fiebre,Azitromicina 1g
177,Cistitis 983,erupciones;nauseas,Insulina comprimidos
178,Tuberculosis 782,dificultad para respirar,Omeprazol solucion oral
179,Hepatitis 821,escalofrios;dolor de cabeza;tos;inflamacion,Insulina 1g
180,Neumonia 529,nauseas;fiebre,Ibuprofeno 1g
181,Dermatitis 361,dolor muscular;vomitos;tos;dolor articular,Cetirizina comprimidos
182,Neumonia 26,inflamacion,Salbutamol solucion oral
183,Bronquitis 877,mareo;tos;fiebre,Amoxicilina solucion oral
184,Artritis 559,vomitos;dolor muscular,Omeprazol 1g
185,Migrana 715,fiebre,Paracetamol 500mg
186,Otitis 743,fatiga,Omeprazol comprimidos
187,Migrana 38,dolor de cabeza;inflamacion,Ibuprofeno comprimidos
188,Gripe 882,nauseas,Metformina comprimidos
189,Bronquitis 508,fatiga;diarrea;erupciones;dolor abdominal,Insulina 1g
190,Gastritis 670,fiebre,Amoxicilina 500mg
191,Migrana 736,fiebre,Ibuprofeno 500mg
192,Otitis 539,diarrea;dolor muscular,Amoxicilina comprimidos
193,Asma 467,mareo;dolor de cabeza;erupciones;inflamacion,Prednisona comprimidos
194,Sinusitis 97,nauseas,Omeprazol 1g
195,Meningitis 304,escalofrios;dolor articular;dolor abdominal,Metformina 500mg
196,Diabetes 59,fatiga;escalofrios;vomitos;dolor articular,Prednisona comprimidos
197,Diabetes 518,nauseas;erupciones;escalofrios;vomitos,Aciclovir 1g
198,Gripe 753,dolor de cabeza;dificultad para respirar;fatiga,Prednisona solucion oral
199,Bronquitis 622,dolor muscular,Ibuprofeno 1g
